id,name,ingredients,steps,calories,macros,goal,type
1,Fruit Salad,"['Rice', 'Carrots', 'Chicken', 'Beef', 'Mixed Berries', 'Chia Seeds']","['Step 1: Grill Carrots', 'Step 2: Chop Carrots']",216,"{'protein': 12, 'carbs': 60, 'fat': 21}",['maintenance'],lunch
2,Beet Salad,"['Eggs', 'Sweet Potatoes', 'Peanut Butter']","['Step 1: Boil Peanut Butter', 'Step 2: Boil Eggs', 'Step 3: Mix Eggs']",541,"{'protein': 34, 'carbs': 56, 'fat': 13}","['maintenance', 'muscle_gain']",snack
3,Waffles,"['Mushrooms', 'Beans', 'Cheese']",['Step 1: Grill Cheese'],460,"{'protein': 15, 'carbs': 56, 'fat': 20}","['muscle_gain', 'weight_loss']",snack
4,Grilled Veggies,"['Chicken', 'Broccoli', 'Greek Yogurt', 'Lettuce', 'Rice', 'Salmon']",['Step 1: Chop Rice'],546,"{'protein': 34, 'carbs': 45, 'fat': 20}","['maintenance', 'muscle_gain', 'weight_loss']",lunch
5,Nut Butter Toast,"['Rice', 'Avocado', 'Quinoa', 'Almonds']","['Step 1: Boil Almonds', 'Step 2: Mix Quinoa', 'Step 3: Grill Avocado', 'Step 4: Cook Rice']",435,"{'protein': 18, 'carbs': 67, 'fat': 14}","['muscle_gain', 'maintenance', 'weight_loss']",dinner
6,Waffles,"['Tomatoes', 'Almonds', 'Greek Yogurt']",['Step 1: Mix Greek Yogurt'],337,"{'protein': 21, 'carbs': 43, 'fat': 25}",['maintenance'],snack
7,Pasta Primavera,"['Peanut Butter', 'Almonds', 'Carrots']","['Step 1: Mix Carrots', 'Step 2: Boil Almonds', 'Step 3: Boil Carrots']",572,"{'protein': 45, 'carbs': 58, 'fat': 6}",['maintenance'],snack
8,Chicken Satay,"['Carrots', 'Tomatoes', 'Oats', 'Bread', 'Mixed Berries']","['Step 1: Grill Carrots', 'Step 2: Boil Mixed Berries', 'Step 3: Chop Bread']",173,"{'protein': 11, 'carbs': 51, 'fat': 7}","['muscle_gain', 'maintenance']",breakfast
9,Rice and Beans,"['Cheese', 'Broccoli', 'Greek Yogurt', 'Mushrooms', 'Tomatoes']","['Step 1: Chop Greek Yogurt', 'Step 2: Cook Broccoli']",188,"{'protein': 17, 'carbs': 41, 'fat': 24}","['muscle_gain', 'weight_loss', 'maintenance']",snack
10,Poke Bowl,"['Mushrooms', 'Quinoa', 'Rice']","['Step 1: Cook Mushrooms', 'Step 2: Bake Quinoa', 'Step 3: Cook Rice']",406,"{'protein': 47, 'carbs': 46, 'fat': 13}",['weight_loss'],snack
11,Green Curry,"['Salmon', 'Rice', 'Protein Powder']","['Step 1: Mix Rice', 'Step 2: Bake Protein Powder', 'Step 3: Mix Salmon']",467,"{'protein': 42, 'carbs': 61, 'fat': 10}","['maintenance', 'weight_loss']",dinner
12,Chicken Curry,"['Bell Peppers', 'Kale', 'Oats', 'Almonds']","['Step 1: Chop Oats', 'Step 2: Chop Oats', 'Step 3: Boil Bell Peppers', 'Step 4: Grill Almonds']",400,"{'protein': 30, 'carbs': 10, 'fat': 25}","['muscle_gain', 'maintenance']",lunch
13,Chicken Wrap,"['Beef', 'Tomatoes', 'Olive Oil', 'Chicken']","['Step 1: Chop Tomatoes', 'Step 2: Chop Olive Oil', 'Step 3: Grill Chicken']",417,"{'protein': 39, 'carbs': 65, 'fat': 16}","['muscle_gain', 'weight_loss', 'maintenance']",dinner
14,Ham and Cheese Sandwich,"['Granola', 'Chicken', 'Mixed Berries', 'Peanut Butter']","['Step 1: Mix Mixed Berries', 'Step 2: Chop Peanut Butter']",188,"{'protein': 7, 'carbs': 10, 'fat': 28}","['maintenance', 'weight_loss', 'muscle_gain']",snack
15,Tomato Soup,"['Tomatoes', 'Mushrooms', 'Spinach', 'Rice']","['Step 1: Bake Spinach', 'Step 2: Cook Spinach']",261,"{'protein': 15, 'carbs': 26, 'fat': 14}","['weight_loss', 'maintenance']",dinner
16,Clam Chowder,"['Sweet Potatoes', 'Almonds', 'Olive Oil']","['Step 1: Cook Almonds', 'Step 2: Boil Sweet Potatoes', 'Step 3: Cook Sweet Potatoes', 'Step 4: Grill Almonds']",192,"{'protein': 13, 'carbs': 58, 'fat': 21}",['weight_loss'],breakfast
17,Cottage Cheese Bowl,"['Chicken', 'Almonds', 'Peanut Butter', 'Carrots', 'Beans']","['Step 1: Boil Beans', 'Step 2: Grill Peanut Butter', 'Step 3: Chop Almonds']",446,"{'protein': 40, 'carbs': 56, 'fat': 7}",['muscle_gain'],dinner
18,Avocado Smoothie,"['Oats', 'Mushrooms', 'Chia Seeds']","['Step 1: Mix Chia Seeds', 'Step 2: Bake Chia Seeds', 'Step 3: Chop Oats', 'Step 4: Chop Oats']",473,"{'protein': 8, 'carbs': 26, 'fat': 26}","['maintenance', 'muscle_gain']",dinner
19,Seafood Paella,"['Cheese', 'Almonds', 'Salmon', 'Mixed Berries', 'Peanut Butter']","['Step 1: Bake Peanut Butter', 'Step 2: Chop Salmon', 'Step 3: Cook Salmon', 'Step 4: Cook Almonds']",286,"{'protein': 29, 'carbs': 48, 'fat': 23}","['maintenance', 'muscle_gain', 'weight_loss']",lunch
